label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,091215_240M,091215_240i,091215_120M,091215_120i,091215_45M,091215_45i,091215_15M,091215_15i,091215_5M,091215_5i,091215_3M,091215_3i,091215_1M,091215_1i,091215_0M,091215_0i
,0,1,15,353.0971,16.2327,0.8465751,,,,,0,0,353.0971,11496.04,10271.06,12871.28,10505.3,11810.16,8636.048,17823.65,12355.31,19896.23,16114.72,9714.44,13107.54,14517.5,11339.02,12250.52,10636.83
,0,2,12,353.0396,16.23842,0.8456846,,,,,0,0,353.0396,4122.77,4362.272,4985.888,3767.951,7989.486,2710.192,5449.761,3891.369,6844.353,5288.87,5013.156,4486.914,5890.736,5857.748,1651969,3406.485
,0,3,16,164.0832,4.090158,0.8444512,,,,,0,0,164.0832,9144.197,6674.449,21496.67,14501.64,19073.6,11706.92,22668.81,16830.48,22769.12,13823.87,18630.46,11908.34,20398.01,14531.99,14062.42,11028.85
,0,4,16,307.1905,17.19227,0.8397266,,,,,0,0,307.1905,7992.229,8694.31,8430.958,7992.963,7547.733,9109.015,7061.827,8127.806,6934.094,7849.086,7562.542,7905.508,8190.871,8293.886,9175.747,10174.79
,0,5,8,307.1954,18.99144,0.7911683,,,,,0,0,307.1954,2416.858,1285.46,1593.279,1679.336,1544.105,1606.008,1978.781,1305.229,1673.479,1534.465,1517.185,1137.958,1546.022,1031.482,1874.768,1812.358
,0,6,1,307.1923,17.74253,0.5694907,,,,,0,0,307.1923,1246.174,1314.657,1347.791,1379.341,1207.688,1155.334,1367.438,1211.12,1196.724,790.3891,1200.671,1428.638,1341.344,1223.506,1025.331,1614.504
,0,7,16,164.0716,4.103504,0.8394764,,,,,0,0,164.0716,4634616,3321152,4704288,3604879,4594726,3149465,4638144,3225077,4931262,3677005,4339060,3468358,4563360,3470003,4113578,3343413
,0,8,16,164.0661,4.098741,0.8411809,,,,,0,0,164.0661,7826.548,5319.706,8738.78,5088.259,6090.838,4686.144,5948.313,3988.268,8098.711,4606.469,7387.371,4482.602,9427.907,4943.219,7338.581,5499.044
,0,9,16,307.1124,16.08998,0.827921,,,,,0,0,307.1124,4003069,2080834,4502108,2225214,3795311,1866926,4169377,2296244,4253640,2626642,3430577,2395923,4410830,2331140,1431214,668555.7
,0,10,9,307.1125,15.56456,0.8133726,,,,,0,0,307.1125,5464.857,2131.119,4676.606,2334.475,4879.928,1968.941,5713.32,2108.254,6865.141,3303.569,4795.315,4359.614,6500.833,2918.657,9654.525,4627.816
,0,11,12,353.0595,16.23175,0.8400313,,,,,0,0,353.0595,3637.468,3845.415,7921.312,6379.447,5606.826,1352.613,7298.141,4750.081,7423.219,3163.85,6148.348,5046.748,7440.14,4674.052,8120.364,4067.729
,0,12,16,164.0831,4.083486,0.8444512,,,,,0,0,164.0831,6772.721,6674.449,14960.57,14501.64,14430.33,11706.92,22668.81,16830.48,22769.12,13823.87,18630.46,11908.34,19892.41,14531.99,14062.42,11028.85
,0,13,16,164.076,4.094926,0.8441987,,,,,0,0,164.076,6401.895,5814.357,9572.419,3721.104,5707.516,2716.245,5949.684,3423.599,8041.108,7255.076,6303.243,5669.312,7705.583,7946.529,8524.613,5212.352
,0,14,16,164.0716,4.103504,0.8384284,,,,,0,0,164.0716,4677786,3349693,4746090,3633071,4639468,3173594,4679474,3251275,4980006,3706739,4384736,3492729,4614492,3496814,4157855,3362827
,0,15,16,164.0831,4.083486,0.8444512,,,,,0,0,164.0831,6772.721,6674.449,14960.57,14501.64,14430.33,11706.92,22668.81,16830.48,22769.12,13823.87,18630.46,11908.34,19892.41,14531.99,14062.42,11028.85
,0,16,15,218.1211,11.27981,0.83732,,,,,0,0,218.1211,5531.455,5560.695,11573.47,9784.331,12191.75,5799.978,12059.08,10058.53,12392.39,8056.844,15158.19,10096.36,8482.456,7663.227,14009.38,8884.538
,0,17,12,353.0596,16.23175,0.8400688,,,,,0,0,353.0596,3637.468,3845.415,7921.312,6379.447,5606.826,1352.613,7298.141,4750.081,7423.219,3163.85,6148.348,5046.748,7440.14,4674.052,8120.364,4067.729
,0,18,16,218.1265,11.2684,0.8358057,,,,,0,0,218.1265,10983.44,12478.23,15054.09,13485.66,12254.51,9554.101,16311,10178.37,12331.68,11874.36,16204.06,8504.104,17508.58,16044.85,21654.26,9812.923
,0,19,16,218.1034,11.27315,0.8350333,,,,,0,0,218.1034,3567271,2760846,3567725,2979531,3352918,2380383,3452095,2362303,3807642,2732688,3393462,2726912,3806552,2779890,3707530,2755892
,0,20,4,218.1034,13.66824,0.8203933,,,,,0,0,218.1034,3485.806,2661.012,4599.229,5199.581,7708.099,7758.73,6885.52,12115.29,5854.838,7551.471,7590.386,8261.321,7464.318,6223.108,6367.641,6880.412
,0,21,16,307.1124,16.08998,0.8283647,,,,,0,0,307.1124,4003113,2080834,4502232,2225214,3795391,1866926,4169942,2296244,4253715,2626642,3430438,2395608,4411032,2331140,1430303,668555.7
,0,22,8,307.1125,15.56456,0.8254179,,,,,0,0,307.1125,5508.902,2131.119,4800.519,2334.475,4959.431,1968.941,6278.238,2108.254,6939.635,3303.569,4656.656,4044.38,6701.727,2918.657,8743.425,4627.816
,0,23,13,229.1447,16.34119,0.8049904,,,,,0,0,229.1447,5345.748,5655.92,5108.102,4703.192,5668.513,5950.128,4954.972,6282.72,5633.446,5603.501,4758.148,5544.582,4924.667,4724.468,5104.799,4807.172
,0,24,16,353.0494,16.22701,0.8300952,,,,,0,0,353.0494,4549598,2988032,4883340,3476804,4701124,2885175,4828646,3175535,4960952,3710897,4535296,3557610,5001676,3431142,4697892,3286067
,0,25,14,353.0496,16.87909,0.8122461,,,,,0,0,353.0496,92328.47,55754.59,110043.3,56593.62,95448.29,44122.75,95503.91,51146.82,111686.3,65336.48,102080.5,57739.28,107732,56721.93,11529.36,7537.857
,0,26,16,218.112,11.27505,0.8438937,,,,,0,0,218.112,4490.262,2175.622,3992.387,3113.612,4282.978,2264.507,4962.241,2580.249,4088.52,3350.514,3129.497,3773.462,4081.728,3413.237,4512.043,3220.868
,0,27,16,229.1448,16.77053,0.8293287,,,,,0,0,229.1448,108839,121244.1,110178,123814.6,112993,131707.6,111690.8,124811,100593.8,110023.2,103537.4,120913.8,106702.1,119512.2,118047.4,140331.9
,0,28,4,229.1447,16.34119,0.7560093,,,,,0,0,229.1447,5800.063,6043.223,5455.348,5157.29,5914.65,6232.174,5261.627,6282.72,5931.93,5603.501,5115.832,6071.355,5300.069,5080.928,5498.393,5185.577
,0,29,0,229.1439,16.10141,0.4217905,,,,,0,0,229.1439,2720.594,2751.767,2767.929,3580.295,3516.408,2366.02,2638.419,2187.83,4226.761,4464.794,3635.361,2714.401,3877.97,1921.092,2106.106,1187.444
