duplicate_id,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,expectedRtDiff,ppmDiff,parent,091215_240M,091215_240i,091215_120M,091215_120i,091215_45M,091215_45i,091215_15M,091215_15i,091215_5M,091215_5i,091215_3M,091215_3i,091215_1M,091215_1i,091215_0M,091215_0i
1,0.0,1.0,15.0,353.0971,16.2327,0.8465751,0.0,0.0,353.0971,11496.04,10271.06,12871.28,10505.3,11810.16,8636.048,17823.65,12355.31,19896.23,16114.72,9714.44,13107.54,14517.5,11339.02,12250.52,10636.83
1,0.0,3191.0,15.0,353.0971,16.2327,0.8465857,0.0,0.0,353.0971,11496.04,10271.06,12871.28,10505.3,11810.16,8636.048,17823.65,12355.31,19896.23,16114.72,9714.44,13107.54,14517.5,11339.02,12250.52,10636.83
2,0.0,5.0,8.0,307.1954,18.99144,0.7911683,0.0,0.0,307.1954,2416.858,1285.46,1593.279,1679.336,1544.105,1606.008,1978.781,1305.229,1673.479,1534.465,1517.185,1137.958,1546.022,1031.482,1874.768,1812.358
2,0.0,9270.0,11.0,307.1954,18.99144,0.8394327,0.0,0.0,307.1954,2416.858,1285.46,1593.279,1679.336,1544.105,1606.008,1978.781,1305.229,1673.479,1534.465,1517.185,1137.958,1546.022,1031.482,1874.768,1812.358
3,0.0,7.0,16.0,164.0716,4.103504,0.8394764,0.0,0.0,164.0716,4634616.0,3321152.0,4704288.0,3604879.0,4594726.0,3149465.0,4638144.0,3225077.0,4931262.0,3677005.0,4339060.0,3468358.0,4563360.0,3470003.0,4113578.0,3343413.0
3,0.0,14.0,16.0,164.0716,4.103504,0.8384284,0.0,0.0,164.0716,4677786.0,3349693.0,4746090.0,3633071.0,4639468.0,3173594.0,4679474.0,3251275.0,4980006.0,3706739.0,4384736.0,3492729.0,4614492.0,3496814.0,4157855.0,3362827.0
4,0.0,7.0,16.0,164.0716,4.103504,0.8394764,0.0,0.0,164.0716,4634616.0,3321152.0,4704288.0,3604879.0,4594726.0,3149465.0,4638144.0,3225077.0,4931262.0,3677005.0,4339060.0,3468358.0,4563360.0,3470003.0,4113578.0,3343413.0
4,0.0,33.0,16.0,164.0715,4.103504,0.8410736,0.0,0.0,164.0715,4674478.0,3347537.0,4739530.0,3629153.0,4635119.0,3173594.0,4669092.0,3238687.0,4971518.0,3693179.0,4365348.0,3473300.0,4597858.0,3462944.0,4132490.0,3346632.0
5,0.0,9.0,16.0,307.1124,16.08998,0.827921,0.0,0.0,307.1124,4003069.0,2080834.0,4502108.0,2225214.0,3795311.0,1866926.0,4169377.0,2296244.0,4253640.0,2626642.0,3430577.0,2395923.0,4410830.0,2331140.0,1431214.0,668555.7
5,0.0,21.0,16.0,307.1124,16.08998,0.8283647,0.0,0.0,307.1124,4003113.0,2080834.0,4502232.0,2225214.0,3795391.0,1866926.0,4169942.0,2296244.0,4253715.0,2626642.0,3430438.0,2395608.0,4411032.0,2331140.0,1430303.0,668555.7
6,0.0,9.0,16.0,307.1124,16.08998,0.827921,0.0,0.0,307.1124,4003069.0,2080834.0,4502108.0,2225214.0,3795311.0,1866926.0,4169377.0,2296244.0,4253640.0,2626642.0,3430577.0,2395923.0,4410830.0,2331140.0,1431214.0,668555.7
6,0.0,55.0,16.0,307.1124,16.08998,0.8281931,0.0,0.0,307.1124,4001572.0,2080048.0,4500736.0,2224264.0,3793978.0,1866297.0,4168157.0,2295356.0,4252234.0,2625605.0,3429537.0,2395089.0,4409724.0,2330326.0,1430588.0,668555.7
7,0.0,9.0,16.0,307.1124,16.08998,0.827921,0.0,0.0,307.1124,4003069.0,2080834.0,4502108.0,2225214.0,3795311.0,1866926.0,4169377.0,2296244.0,4253640.0,2626642.0,3430577.0,2395923.0,4410830.0,2331140.0,1431214.0,668555.7
7,0.0,56.0,16.0,307.1124,16.08998,0.8288974,0.0,0.0,307.1124,3989868.0,2074718.0,4501714.0,2218783.0,3794723.0,1865872.0,4168563.0,2295082.0,4235380.0,2618271.0,3418062.0,2390377.0,4408912.0,2329118.0,1426065.0,666287.4
8,0.0,10.0,9.0,307.1125,15.56456,0.8133726,0.0,0.0,307.1125,5464.857,2131.119,4676.606,2334.475,4879.928,1968.941,5713.32,2108.254,6865.141,3303.569,4795.315,4359.614,6500.833,2918.657,9654.525,4627.816
8,0.0,22.0,8.0,307.1125,15.56456,0.8254179,0.0,0.0,307.1125,5508.902,2131.119,4800.519,2334.475,4959.431,1968.941,6278.238,2108.254,6939.635,3303.569,4656.656,4044.38,6701.727,2918.657,8743.425,4627.816
9,0.0,10.0,9.0,307.1125,15.56456,0.8133726,0.0,0.0,307.1125,5464.857,2131.119,4676.606,2334.475,4879.928,1968.941,5713.32,2108.254,6865.141,3303.569,4795.315,4359.614,6500.833,2918.657,9654.525,4627.816
9,0.0,12888.0,16.0,307.1127,15.56456,0.8455172,0.0,0.0,307.1127,6050.691,2131.119,5252.663,2334.475,5367.05,1968.941,6278.238,2108.254,7556.203,3303.569,5337.902,4359.614,7071.694,2918.657,9654.525,4627.816
10,0.0,11.0,12.0,353.0595,16.23175,0.8400313,0.0,0.0,353.0595,3637.468,3845.415,7921.312,6379.447,5606.826,1352.613,7298.141,4750.081,7423.219,3163.85,6148.348,5046.748,7440.14,4674.052,8120.364,4067.729
10,0.0,17.0,12.0,353.0596,16.23175,0.8400688,0.0,0.0,353.0596,3637.468,3845.415,7921.312,6379.447,5606.826,1352.613,7298.141,4750.081,7423.219,3163.85,6148.348,5046.748,7440.14,4674.052,8120.364,4067.729
11,0.0,12.0,16.0,164.0831,4.083486,0.8444512,0.0,0.0,164.0831,6772.721,6674.449,14960.57,14501.64,14430.33,11706.92,22668.81,16830.48,22769.12,13823.87,18630.46,11908.34,19892.41,14531.99,14062.42,11028.85
11,0.0,15.0,16.0,164.0831,4.083486,0.8444512,0.0,0.0,164.0831,6772.721,6674.449,14960.57,14501.64,14430.33,11706.92,22668.81,16830.48,22769.12,13823.87,18630.46,11908.34,19892.41,14531.99,14062.42,11028.85
12,0.0,12.0,16.0,164.0831,4.083486,0.8444512,0.0,0.0,164.0831,6772.721,6674.449,14960.57,14501.64,14430.33,11706.92,22668.81,16830.48,22769.12,13823.87,18630.46,11908.34,19892.41,14531.99,14062.42,11028.85
12,0.0,2915.0,16.0,164.0831,4.083486,0.8380697,0.0,0.0,164.0831,6772.721,6674.449,14960.57,14501.64,14430.33,11706.92,22668.81,16830.48,22769.12,13823.87,18630.46,11908.34,19892.41,14531.99,14062.42,11028.85
13,0.0,14.0,16.0,164.0716,4.103504,0.8384284,0.0,0.0,164.0716,4677786.0,3349693.0,4746090.0,3633071.0,4639468.0,3173594.0,4679474.0,3251275.0,4980006.0,3706739.0,4384736.0,3492729.0,4614492.0,3496814.0,4157855.0,3362827.0
13,0.0,33.0,16.0,164.0715,4.103504,0.8410736,0.0,0.0,164.0715,4674478.0,3347537.0,4739530.0,3629153.0,4635119.0,3173594.0,4669092.0,3238687.0,4971518.0,3693179.0,4365348.0,3473300.0,4597858.0,3462944.0,4132490.0,3346632.0
14,0.0,15.0,16.0,164.0831,4.083486,0.8444512,0.0,0.0,164.0831,6772.721,6674.449,14960.57,14501.64,14430.33,11706.92,22668.81,16830.48,22769.12,13823.87,18630.46,11908.34,19892.41,14531.99,14062.42,11028.85
14,0.0,2915.0,16.0,164.0831,4.083486,0.8380697,0.0,0.0,164.0831,6772.721,6674.449,14960.57,14501.64,14430.33,11706.92,22668.81,16830.48,22769.12,13823.87,18630.46,11908.34,19892.41,14531.99,14062.42,11028.85
15,0.0,16.0,15.0,218.1211,11.27981,0.83732,0.0,0.0,218.1211,5531.455,5560.695,11573.47,9784.331,12191.75,5799.978,12059.08,10058.53,12392.39,8056.844,15158.19,10096.36,8482.456,7663.227,14009.38,8884.538
15,0.0,3300.0,16.0,218.1211,11.27981,0.837445,0.0,0.0,218.1211,5531.455,5560.695,11573.47,9784.331,12191.75,5799.978,12059.08,10058.53,12392.39,8056.844,15158.19,10096.36,8482.456,7663.227,14009.38,8884.538
16,0.0,18.0,16.0,218.1265,11.2684,0.8358057,0.0,0.0,218.1265,10983.44,12478.23,15054.09,13485.66,12254.51,9554.101,16311.0,10178.37,12331.68,11874.36,16204.06,8504.104,17508.58,16044.85,21654.26,9812.923
16,0.0,2025.0,16.0,218.1265,11.2684,0.8358057,0.0,0.0,218.1265,10983.44,12478.23,15054.09,13485.66,12254.51,9554.101,16311.0,10178.37,12331.68,11874.36,16204.06,8504.104,17508.58,16044.85,21654.26,9812.923
17,0.0,18.0,16.0,218.1265,11.2684,0.8358057,0.0,0.0,218.1265,10983.44,12478.23,15054.09,13485.66,12254.51,9554.101,16311.0,10178.37,12331.68,11874.36,16204.06,8504.104,17508.58,16044.85,21654.26,9812.923
17,0.0,3219.0,16.0,218.1264,11.2684,0.8357674,0.0,0.0,218.1264,11806.25,12478.23,15054.09,13485.66,12254.51,9554.101,16311.0,10178.37,12331.68,11874.36,16204.06,8504.104,17508.58,16044.85,21654.26,9812.923
18,0.0,19.0,16.0,218.1034,11.27315,0.8350333,0.0,0.0,218.1034,3567271.0,2760846.0,3567725.0,2979531.0,3352918.0,2380383.0,3452095.0,2362303.0,3807642.0,2732688.0,3393462.0,2726912.0,3806552.0,2779890.0,3707530.0,2755892.0
18,0.0,42.0,16.0,218.1034,11.27315,0.835036,0.0,0.0,218.1034,3567118.0,2760781.0,3567580.0,2979474.0,3352819.0,2380340.0,3451995.0,2362263.0,3807523.0,2732640.0,3393378.0,2726851.0,3806451.0,2779837.0,3707407.0,2755619.0
19,0.0,20.0,4.0,218.1034,13.66824,0.8203933,0.0,0.0,218.1034,3485.806,2661.012,4599.229,5199.581,7708.099,7758.73,6885.52,12115.29,5854.838,7551.471,7590.386,8261.321,7464.318,6223.108,6367.641,6880.412
19,0.0,43.0,4.0,218.1034,13.66824,0.8202408,0.0,0.0,218.1034,3332.544,2595.917,4453.673,5142.175,7608.41,7715.857,6785.309,12075.39,5736.503,7503.992,7506.072,8200.22,7363.371,6169.992,6244.889,6607.723
20,0.0,21.0,16.0,307.1124,16.08998,0.8283647,0.0,0.0,307.1124,4003113.0,2080834.0,4502232.0,2225214.0,3795391.0,1866926.0,4169942.0,2296244.0,4253715.0,2626642.0,3430438.0,2395608.0,4411032.0,2331140.0,1430303.0,668555.7
20,0.0,55.0,16.0,307.1124,16.08998,0.8281931,0.0,0.0,307.1124,4001572.0,2080048.0,4500736.0,2224264.0,3793978.0,1866297.0,4168157.0,2295356.0,4252234.0,2625605.0,3429537.0,2395089.0,4409724.0,2330326.0,1430588.0,668555.7
21,0.0,21.0,16.0,307.1124,16.08998,0.8283647,0.0,0.0,307.1124,4003113.0,2080834.0,4502232.0,2225214.0,3795391.0,1866926.0,4169942.0,2296244.0,4253715.0,2626642.0,3430438.0,2395608.0,4411032.0,2331140.0,1430303.0,668555.7
21,0.0,56.0,16.0,307.1124,16.08998,0.8288974,0.0,0.0,307.1124,3989868.0,2074718.0,4501714.0,2218783.0,3794723.0,1865872.0,4168563.0,2295082.0,4235380.0,2618271.0,3418062.0,2390377.0,4408912.0,2329118.0,1426065.0,666287.4
22,0.0,22.0,8.0,307.1125,15.56456,0.8254179,0.0,0.0,307.1125,5508.902,2131.119,4800.519,2334.475,4959.431,1968.941,6278.238,2108.254,6939.635,3303.569,4656.656,4044.38,6701.727,2918.657,8743.425,4627.816
22,0.0,12888.0,16.0,307.1127,15.56456,0.8455172,0.0,0.0,307.1127,6050.691,2131.119,5252.663,2334.475,5367.05,1968.941,6278.238,2108.254,7556.203,3303.569,5337.902,4359.614,7071.694,2918.657,9654.525,4627.816
23,0.0,24.0,16.0,353.0494,16.22701,0.8300952,0.0,0.0,353.0494,4549598.0,2988032.0,4883340.0,3476804.0,4701124.0,2885175.0,4828646.0,3175535.0,4960952.0,3710897.0,4535296.0,3557610.0,5001676.0,3431142.0,4697892.0,3286067.0
23,0.0,34.0,16.0,353.0494,16.22701,0.8300843,0.0,0.0,353.0494,4549590.0,2988034.0,4883394.0,3476760.0,4701148.0,2885211.0,4828764.0,3175535.0,4960952.0,3710853.0,4535282.0,3557560.0,5001676.0,3431146.0,4697824.0,3286041.0
24,0.0,24.0,16.0,353.0494,16.22701,0.8300952,0.0,0.0,353.0494,4549598.0,2988032.0,4883340.0,3476804.0,4701124.0,2885175.0,4828646.0,3175535.0,4960952.0,3710897.0,4535296.0,3557610.0,5001676.0,3431142.0,4697892.0,3286067.0
24,0.0,39.0,16.0,353.0494,16.22701,0.8312572,0.0,0.0,353.0494,4549458.0,2988011.0,4883256.0,3476831.0,4700976.0,2885088.0,4828946.0,3175389.0,4960678.0,3710879.0,4535205.0,3557560.0,5001458.0,3430898.0,4697488.0,3285750.0
25,0.0,25.0,14.0,353.0496,16.87909,0.8122461,0.0,0.0,353.0496,92328.47,55754.59,110043.3,56593.62,95448.29,44122.75,95503.91,51146.82,111686.3,65336.48,102080.5,57739.28,107732.0,56721.93,11529.36,7537.857
25,0.0,35.0,14.0,353.0496,16.87909,0.812228,0.0,0.0,353.0496,92319.85,55757.06,110097.6,56549.19,95472.81,44159.38,95623.12,51146.82,111686.3,65292.39,102066.7,57688.41,107732.0,56725.98,11461.99,7511.395
