duplicate_id,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,expectedRtDiff,ppmDiff,parent,091215_240M,091215_240i,091215_120M,091215_120i,091215_45M,091215_45i,091215_15M,091215_15i,091215_5M,091215_5i,091215_3M,091215_3i,091215_1M,091215_1i,091215_0M,091215_0i
12,0.0,3166.0,15.0,218.1092,11.2684,0.8486728,0.0,0.0,218.1092,5049.581,4223.085,8387.956,2921.314,6522.744,4629.496,5960.591,9957.835,5870.039,4375.703,4381.551,4167.41,8064.853,5350.955,4958.451,3789.254
13,0.0,16.0,16.0,229.1347,16.09093,0.8200771,0.0,0.0,229.1347,3270947.0,2023146.0,3395554.0,2207372.0,3102454.0,1872782.0,3275030.0,2169933.0,3281454.0,2448593.0,2912932.0,2295911.0,3436067.0,2173976.0,1573430.0,871340.2
13,0.0,22.0,16.0,229.1347,16.09093,0.8202408,0.0,0.0,229.1347,3269877.0,2022674.0,3394291.0,2206740.0,3101282.0,1872328.0,3273842.0,2169372.0,3280252.0,2447836.0,2911950.0,2295448.0,3434682.0,2173316.0,1572956.0,870988.3
14,0.0,16.0,16.0,229.1347,16.09093,0.8200771,0.0,0.0,229.1347,3270947.0,2023146.0,3395554.0,2207372.0,3102454.0,1872782.0,3275030.0,2169933.0,3281454.0,2448593.0,2912932.0,2295911.0,3436067.0,2173976.0,1573430.0,871340.2
14,0.0,35.0,16.0,229.1347,16.09093,0.8211768,0.0,0.0,229.1347,3246271.0,2012581.0,3383311.0,2196156.0,3079309.0,1862150.0,3258831.0,2156933.0,3251628.0,2432534.0,2886189.0,2284192.0,3407914.0,2158896.0,1563525.0,867537.2
15,0.0,17.0,12.0,229.1347,15.44555,0.7466292,0.0,0.0,229.1347,13449.04,5464.717,14691.88,5848.881,13998.56,6949.505,14973.99,5933.852,18063.24,7147.742,14939.28,6822.362,13899.52,7022.438,7421.494,3376.152
15,0.0,1654.0,15.0,229.1347,15.44555,0.8273311,0.0,0.0,229.1347,14034.92,5894.982,15753.1,6292.134,14975.08,7251.81,15987.28,6377.501,19449.67,7593.283,15602.24,7388.625,14867.1,7385.965,7810.027,3376.152
16,0.0,19.0,16.0,353.0494,16.22701,0.8301809,0.0,0.0,353.0494,4548794.0,2987579.0,4882518.0,3476138.0,4699944.0,2884882.0,4827878.0,3175126.0,4959898.0,3710329.0,4534342.0,3557007.0,5000842.0,3430620.0,4697290.0,3285641.0
16,0.0,25.0,16.0,353.0494,16.22701,0.8313677,0.0,0.0,353.0494,4549556.0,2988034.0,4883478.0,3476831.0,4701516.0,2885093.0,4829036.0,3175568.0,4961048.0,3711062.0,4535302.0,3557629.0,5001490.0,3430962.0,4697488.0,3286022.0
17,0.0,22.0,16.0,229.1347,16.09093,0.8202408,0.0,0.0,229.1347,3269877.0,2022674.0,3394291.0,2206740.0,3101282.0,1872328.0,3273842.0,2169372.0,3280252.0,2447836.0,2911950.0,2295448.0,3434682.0,2173316.0,1572956.0,870988.3
